epsilon,best_test_accuracy,max_grad_norm,learning_rate,batch_size,epochs
0.01,0.5356669976828865,0.1801325583147636,0.02392970241200609,497,46
0.010403065027260044,0.6139523336643495,2.410416818561966,0.0027992954296398873,314,11
0.010822376196140097,0.613042039059914,2.889161487567501,0.02528952505540269,216,21
0.011258588331791665,0.5220125786163522,3.3465262991216447,0.011010785978574671,99,12
0.011712382653077988,0.6905825885468388,1.2879936997761456,0.0053347696433160025,353,29
0.012184467836412277,0.6713008937437934,2.410416818561966,0.0027992954296398873,314,11
0.012675581122475544,0.6955478318437603,1.2879936997761456,0.0053347696433160025,353,29
0.013186489467542294,0.6909136047666335,0.35370121264259013,0.04746983409404,495,52
0.01371799074121221,0.7534756703078451,1.2879936997761456,0.0053347696433160025,353,29
0.014270914972418185,0.5935120820920226,3.7860325224985085,0.018504519844270744,194,2
0.01484612564565653,0.7739159218801721,1.2865447475421972,0.026475443365795773,226,19
0.01544452104946379,0.7638199271764317,3.3465262991216447,0.011010785978574671,99,12
0.016067035679245837,0.7695299569678914,0.7242100071670539,0.04154690042076455,437,42
0.01671464169665016,0.8090036411784177,0.4051559398748332,0.032225379187395084,512,63
0.017388350447760378,0.7901357166501158,0.8313772625901319,0.027484877219980237,293,34
0.01808921404248374,0.7955974842767296,0.35370121264259013,0.04746983409404,495,52
0.018818326997598393,0.7682058920887124,0.8313772625901319,0.027484877219980237,293,34
0.019576827946025936,0.7797914597815293,1.995352478706642,0.015625780452608568,417,17
0.020365901414998954,0.7929493545183715,0.35370121264259013,0.04746983409404,495,52
0.021186779675900134,0.7975835815954981,1.2865447475421972,0.026475443365795773,226,19
0.02204074466866206,0.8112380006620324,0.7760722957946968,0.04980047301661185,509,45
0.02292913000373265,0.8081761006289309,0.35370121264259013,0.04746983409404,495,52
0.023853323044733008,0.8098311817279047,1.2865447475421972,0.026475443365795773,226,19
0.024814767075059804,0.8047004303210857,1.2865447475421972,0.026475443365795773,226,19
0.02581496355181587,0.801142005958292,0.523965026953098,0.03084861033830664,331,64
0.026855474450588827,0.811900033101622,0.7453892893816584,0.049601198151002016,427,47
0.02793792470473963,0.8162032439589539,0.7242100071670539,0.03966003268657907,257,42
0.029064004743010113,0.8057762330354188,0.15993417557960665,0.015377958740942626,12,47
0.030235473129412858,0.8191823899371069,1.2865447475421972,0.026475443365795773,226,19
0.031454159309525574,0.8105759682224429,2.48622628941728,0.00740494610227607,155,24
0.03272196646747912,0.8191823899371069,0.7242100071670539,0.035661480269053906,423,42
0.0340408744981008,0.8100794438927508,2.48622628941728,0.00740494610227607,155,24
0.03541294309885406,0.8174445547831843,0.9667192522666648,0.032173923056326215,228,18
0.03684031498640386,0.8248924197285668,1.2865447475421972,0.026475443365795773,226,19
0.038325219242830215,0.8255544521681563,0.7084726977255024,0.008221728756642031,37,56
0.03986997479671607,0.8095001655081099,1.3933083063455478,0.027570588336901042,426,41
0.04147699404454561,0.8212512413108243,0.7242100071670539,0.029788339978537953,284,38
0.04314878661806854,0.8271267792121814,0.7084726977255024,0.008221728756642031,37,56
0.044887963303513516,0.8276233035418735,1.3933083063455478,0.020803067471985577,221,20
0.04669724011877137,0.8216650115855677,1.6523995309084154,0.01374171806619763,411,44
0.04857944255491551,0.822658060244952,1.2865447475421972,0.026475443365795773,226,19
0.05053750998868299,0.8214167494207216,2.48622628941728,0.00740494610227607,155,24
0.052574500272807294,0.824809665673618,2.131551696282417,0.015520591893983617,269,36
0.0546935945113715,0.8292783846408474,1.5127697274270993,0.043455276022376546,387,38
