dataset_name,target_epsilon,accuracy
cifar100,0.01,0.016200000420212746
cifar100,0.010773699258659447,0.011699999682605267
cifar100,0.011607259571603908,0.011699999682605267
cifar100,0.01250531238416568,0.011799999512732029
cifar100,0.013472847476259053,0.016300000250339508
cifar100,0.014515240686700398,0.016300000250339508
cifar100,0.015638283782556744,0.015600000508129597
cifar100,0.016848216639483767,0.015200000256299973
cifar100,0.018151761911853994,0.015200000256299973
cifar100,0.019556162385310417,0.015200000256299973
cifar100,0.021069221219284253,0.015200000256299973
cifar100,0.022699345303073465,0.014299999922513962
cifar100,0.02445559196637773,0.014299999922513962
cifar100,0.02634771930382417,0.008299998939037323
cifar100,0.02838624039309777,0.00950000062584877
cifar100,0.030582481707924616,0.016899999231100082
cifar100,0.03294864605046334,0.011900000274181366
cifar100,0.03549788035277094,0.011199998669326305
cifar100,0.03824434872406301,0.00989999994635582
cifar100,0.04120331114963508,0.00989999994635582
cifar100,0.04439120827871378,0.01029999926686287
cifar100,0.04782575277233758,0.009999999776482582
cifar100,0.05152602771881634,0.010999999940395355
cifar100,0.055512592663587754,0.012600000947713852
cifar100,0.05980759784259593,0.014199999161064625
cifar100,0.06443490725389782,0.015399999916553497
cifar100,0.06942023125131089,0.011100000701844692
cifar100,0.07479126939682151,0.011999999172985554
cifar100,0.0805778643654735,0.010400000028312206
cifar100,0.08681216775786633,0.010100000537931919
cifar100,0.09352881874155437,0.010100000537931919
cifar100,0.10076513651391776,0.01639999821782112
cifar100,0.1085613276558714,0.02239999920129776
cifar100,0.1169607095285147,0.01860000006854534
cifar100,0.1260099509539641,0.025300001725554466
cifar100,0.13575933151764366,0.026500001549720764
cifar100,0.1462630209327739,0.027400000020861626
cifar100,0.15757938001927174,0.03150000050663948
cifar100,0.16977128496936428,0.03689999878406525
cifar100,0.18290647670161017,0.03830000013113022
cifar100,0.1970579372444148,0.04119999706745148
cifar100,0.2123042952403112,0.04609999805688858
cifar100,0.2287302628240756,0.0575999990105629
cifar100,0.2464271063020724,0.06319999694824219
cifar100,0.2654931532480229,0.06540000438690186
cifar100,0.2860343388327383,0.06440000236034393
cifar100,0.30816479442334166,0.07840000092983246
cifar100,0.33200748172236977,0.0989999994635582
cifar100,0.3576948759701685,0.1112000048160553
cifar100,0.3853697020066086,0.13109999895095825
cifar100,0.4151857272818411,0.14959999918937683
cifar100,0.44730861622223533,0.15330000221729279
cifar100,0.481916850698548,0.2021999955177307
cifar100,0.519202721710644,0.2053000032901764
cifar100,0.5593733977987932,0.27639999985694885
cifar100,0.6026520761178672,0.3077999949455261
cifar100,0.6492792225700643,0.2621999979019165
cifar100,0.6995139078866082,0.32190001010894775
cifar100,0.7536352470819924,0.40459999442100525
cifar100,0.8119439502786887,0.42989999055862427
cifar100,0.8747639935190532,0.4715000092983246
cifar100,0.9424444188478197,0.4935999810695648
cifar100,1.0153612736668485,0.5107000470161438
cifar100,1.0939197001376042,0.5311000347137451
cifar100,1.1785561862405467,0.5519999861717224
cifar100,1.2697409909988278,0.5949000120162964
cifar100,1.367980757341359,0.6121999621391296
cifar100,1.4738213271228982,0.6248999834060669
cifar100,1.5878507739420444,0.6187999844551086
cifar100,1.7107026706081225,0.650600016117096
cifar100,1.8430596094117477,0.6811000108718872
cifar100,1.9856569947584508,0.6942000389099121
cifar100,2.139287129238106,0.7092999815940857
cifar100,2.304803615833227,0.727899968624115
cifar100,2.4831261007258063,0.7455999851226807
cifar100,2.675245383054753,0.763700008392334
cifar100,2.8822289200149087,0.7744999527931213
cifar100,3.105226757885143,0.7889999747276306
cifar100,3.345477921939666,0.7933000326156616
cifar100,3.6043173007462914,0.8025999665260315
cifar100,3.8831830631023725,0.8104000091552734
cifar100,4.183624648818498,0.818000078201294
cifar100,4.507311377748522,0.8259999752044678
