epsilon,best_test_accuracy,max_grad_norm,learning_rate,batch_size,epochs
0.01,0.7662797125483692,1.0664524784026246,0.04240104222828796,16730,24
0.010403065027260044,0.7386401326699834,1.2865447475421972,0.026475443365795773,3076,19
0.010822376196140097,0.760530679933665,1.2879936997761456,0.0053347696433160025,8772,29
0.011258588331791665,0.7600884466556108,0.9840557684706186,0.04303509030007521,1957,12
0.011712382653077988,0.7854063018242122,2.48622628941728,0.00740494610227607,1721,24
0.012184467836412277,0.7563294637921504,0.7143286809480183,0.005669895389445814,797,55
0.012675581122475544,0.7933665008291874,2.48622628941728,0.00740494610227607,1721,24
0.013186489467542294,0.7553344389165285,2.48622628941728,0.00740494610227607,1721,24
0.01371799074121221,0.7756771697070205,0.9432745657317518,0.049093220046808814,3365,61
0.014270914972418185,0.7875069098949696,0.8195865600810859,0.029528257392696947,2380,64
0.01484612564565653,0.7866224433388612,1.5607064635047139,0.04756035816729085,10696,39
0.01544452104946379,0.7615257048092869,3.3465262991216447,0.011010785978574671,1088,12
0.016067035679245837,0.7785516860143726,0.7084726977255024,0.008221728756642031,651,56
0.01671464169665016,0.8130458817025982,3.0068815454910736,0.017843820995253917,2837,26
0.017388350447760378,0.7978993919292426,3.156155522481165,0.016105110636770704,2900,42
0.01808921404248374,0.7791044776119403,2.48622628941728,0.00740494610227607,1721,24
0.018818326997598393,0.8057490326147042,3.3465262991216447,0.011010785978574671,1088,12
0.019576827946025936,0.7885019347705915,1.7748778915116534,0.013792522453653307,1395,25
0.020365901414998954,0.7897180762852405,2.842586647766131,0.018086343779131164,2444,22
0.021186779675900134,0.8113875069098949,2.1884286129782637,0.016373139699966274,524,30
0.02204074466866206,0.8021006080707573,2.8806603322365616,0.01967900695603389,2313,20
0.02292913000373265,0.8044223327805418,3.2132596535546085,0.016912150495586444,921,12
0.023853323044733008,0.8117191818684356,3.002017226495807,0.015098746352233076,1644,46
0.024814767075059804,0.8068546158098396,1.8786729384464402,0.039366210088954176,1172,33
0.02581496355181587,0.8113875069098949,2.054732937363914,0.04106236916194461,3703,30
0.026855474450588827,0.8095080154781648,3.7860325224985085,0.035453615771808625,2366,41
0.02793792470473963,0.8081813156440022,2.834534122035664,0.029866950221815923,3776,30
0.029064004743010113,0.8216694306246545,1.8786729384464402,0.039366210088954176,1172,33
0.030235473129412858,0.8189054726368159,2.8369979667974317,0.04285700538856635,3855,46
0.031454159309525574,0.8238805970149253,1.8786729384464402,0.039366210088954176,1172,33
0.03272196646747912,0.81934770591487,1.8786729384464402,0.039366210088954176,1172,33
0.0340408744981008,0.8192371475953566,3.156155522481165,0.03705107446388854,1306,40
